date,uniswap_v2_tvl_usd,sushiswap_tvl_usd
2021-04-12,8455615911,4222479220.0
2021-04-13,8439727511,4207814050.0
2021-04-14,8809703515,4237117981.0
2021-04-15,9034377993,4330953069.0
2021-04-16,9271919339,4499909437.0
2021-04-17,9024833774,4364395946.0
2021-04-18,8771585101,4388765949.0
2021-04-19,8411199257,4151037337.0
2021-04-20,8242671931,3955068675.0
2021-04-21,8856904311,4171476515.0
2021-04-22,8952413209,4173139046.0
2021-04-23,8988852645,4224497480.0
2021-04-24,8969129776,4089556428.0
2021-04-25,8533376389,3882057371.0
2021-04-26,8897547197,3888319144.0
2021-04-27,9523066582,4359660562.0
2021-04-28,9742284203,4537325667.0
2021-04-29,10000686491,4614231204.0
2021-04-30,8358278932,4608029525.0
2021-05-01,8438687827,5029490000.0
2021-05-02,8650747255,5306280431.0
2021-05-03,8583063122,5224439923.0
2021-05-04,9376997257,5587128804.0
2021-05-05,9009117370,4995858235.0
2021-05-06,9326531877,5390469126.0
2021-05-07,8901408946,5501212845.0
2021-05-08,8753061317,5670922371.0
2021-05-09,9328545356,5865898688.0
2021-05-10,9263019490,5947164851.0
