date,sushi_usd,uni_usd,eth_usd,comp_usd,link_usd,yfi_usd
2020-10-03,1.1054794519765787,3.8694115886535427,345.9125682279143,120.16634790117223,9.169006189669135,21076.595932495973
2020-10-04,1.0653329101441142,3.8950499777028713,346.0507808464497,121.52633177643366,9.270142288054117,18923.830225279227
2020-10-05,0.8907888286326593,3.726206601386876,352.4588065039611,119.50152084022746,9.465769022676577,19149.696212170536
2020-10-06,0.8430361805588278,3.320548666216763,353.6044273109067,122.08207982749917,9.611590933129055,19025.95891779978
2020-10-07,0.6167225804968169,2.692316035364427,340.6160218128092,105.60221927721184,8.763621293769846,16614.90835471327
2020-10-08,0.6555009501183898,2.9432518934114023,341.7403838210948,110.94982351785218,8.984733900720006,14875.711090726098
2020-10-09,0.7691426425011283,3.3395368918289408,351.3576494897685,107.99527370943608,9.547198308851497,16616.81809135647
2020-10-10,0.8297508060366469,3.3921693078883113,365.025951352415,115.67390458064449,10.403298735026125,18147.54072850288
2020-10-11,0.7461762511970679,3.298512186270176,371.37489159680723,113.8966142214603,10.52781623177753,16051.800310316328
2020-10-12,0.7537733622037748,3.358881815560351,374.4970150925736,115.45057999348525,10.820502098829232,16882.052533740054
2020-10-13,0.7641397496652221,3.444288340889449,386.8815914663434,117.00781541367836,11.445539853984918,16434.72595491322
2020-10-14,0.7477393740554442,3.359079390576484,381.07888131280794,114.0112422349333,10.999816511182596,15668.57181618126
2020-10-15,0.71538805688999,3.098756450786781,379.566363215087,107.72116197276219,10.87892680080319,14445.8456245337
2020-10-16,0.6999141127224863,3.0792981542658775,377.15868107868175,106.39999172598547,10.680090131773635,14329.744614316267
2020-10-17,0.6503001812603089,3.0286560956008817,365.659372575543,103.2236304734687,10.594982741167334,13428.000550491905
2020-10-18,0.6660232775986284,3.0584112322659442,368.64679529353197,103.05722586007931,10.617524551083534,14045.04828746066
2020-10-19,0.7100605251789254,3.2753700879834837,377.97329389403757,104.67096756437195,10.937445865057713,15374.14922326037
2020-10-20,0.6686265420296595,3.1799939425758104,378.87810817776216,102.8336725366242,10.918418890518456,13935.670119768252
2020-10-21,0.6305061298082038,2.850808292513989,368.3114919844194,94.65178407322992,9.871536824413582,13072.299971733122
2020-10-22,0.6695600263654559,2.9315117694623343,391.16674217757225,95.34196143056252,10.812855154039745,13381.044094180155
2020-10-23,0.6624550427756037,3.018223704836639,413.55852412303034,101.80161619205603,11.90604344378033,13694.39787825009
2020-10-24,0.6598846221357779,3.0080256126601337,409.24821734191613,102.78148971176823,12.131409051892815,14874.936344090798
2020-10-25,0.6493531244473651,2.9311120529868027,410.6637631418196,105.02005875700152,12.682432781886563,14815.68026349266
2020-10-26,0.6186249287701799,2.7735362969292106,405.0029275921872,100.74224899041485,12.106092328112412,14225.225300866667
2020-10-27,0.6212564335938094,2.7169571374832664,393.5103576843557,99.9357871351598,11.743952542194565,13749.804009229907
2020-10-28,0.6940413949217099,2.8024334621092417,403.529837833562,108.82720428676588,11.972447725904928,13382.908491824717
